出発時刻,種別,行き先
05:17,準急,淀屋橋
05:30,準急,淀屋橋
05:41,急行,淀屋橋
05:57,準急,淀屋橋
06:07,準急,淀屋橋
06:21,準急,淀屋橋
06:29,準急,淀屋橋
06:37,区間急行,淀屋橋
06:40,急行,淀屋橋
06:49,準急,淀屋橋
06:53,準急,淀屋橋
07:01,準急,淀屋橋
07:04,ライナー,淀屋橋
07:06,準急,淀屋橋
07:11,準急,淀屋橋
07:14,区間急行,淀屋橋
07:17,急行,淀屋橋
07:23,ライナー,淀屋橋
07:25,準急,淀屋橋
07:30,急行,淀屋橋
07:35,準急,淀屋橋
07:37,区間急行,淀屋橋
07:39,通勤快急,淀屋橋
07:45,通勤準急,淀屋橋
07:47,区間急行,中之島
07:50,通勤快急,淀屋橋
07:55,通勤快急,淀屋橋
07:59,通勤準急,淀屋橋
08:02,通勤準急,淀屋橋
08:05,ライナー,淀屋橋
08:07,通勤快急,中之島
08:11,通勤準急,淀屋橋
08:16,通勤快急,淀屋橋
08:20,通勤準急,中之島
08:25,準急,淀屋橋
08:31,準急,中之島
08:33,準急,中之島
08:36,ライナー,淀屋橋
08:41,準急,淀屋橋
08:48,快速急行,淀屋橋
08:51,準急,淀屋橋
08:58,準急,淀屋橋
09:00,準急,淀屋橋
09:06,快速急行,中之島
09:12,準急,淀屋橋
09:15,快速急行,中之島
09:21,準急,淀屋橋
09:26,準急,淀屋橋
09:31,快速急行,淀屋橋
09:34,区間急行,淀屋橋
09:40,準急,淀屋橋
10:07,快速急行,淀屋橋
10:09,区間急行,淀屋橋
10:20,準急,淀屋橋
10:33,準急,淀屋橋
10:44,準急,淀屋橋
10:56,準急,淀屋橋
11:07,準急,淀屋橋
11:20,準急,淀屋橋
11:32,準急,淀屋橋
11:45,準急,淀屋橋
11:57,準急,淀屋橋
12:09,準急,淀屋橋
12:21,準急,淀屋橋
12:33,準急,淀屋橋
12:45,準急,淀屋橋
12:57,準急,淀屋橋
13:09,準急,淀屋橋
13:21,準急,淀屋橋
13:33,準急,淀屋橋
13:45,準急,淀屋橋
13:57,準急,淀屋橋
14:09,準急,淀屋橋
14:21,準急,淀屋橋
14:33,準急,淀屋橋
14:45,準急,淀屋橋
14:57,準急,淀屋橋
15:09,準急,淀屋橋
15:21,準急,淀屋橋
15:33,準急,淀屋橋
15:45,準急,淀屋橋
15:57,準急,淀屋橋
16:08,準急,淀屋橋
16:20,準急,淀屋橋
16:32,準急,淀屋橋
16:43,準急,淀屋橋
16:51,準急,淀屋橋
16:57,快速急行,淀屋橋
17:06,準急,淀屋橋
17:09,快速急行,淀屋橋
17:15,準急,淀屋橋
17:19,快速急行,淀屋橋
17:22,準急,淀屋橋
17:30,準急,淀屋橋
17:34,快速急行,淀屋橋
17:40,準急,淀屋橋
17:45,準急,中之島
17:53,準急,淀屋橋
17:56,準急,淀屋橋
18:05,準急,淀屋橋
18:10,快速急行,淀屋橋
18:19,快速急行,淀屋橋
18:25,準急,淀屋橋
18:33,準急,淀屋橋
18:41,準急,淀屋橋
18:45,快速急行,中之島
18:54,準急,淀屋橋
19:04,準急,淀屋橋
19:09,快速急行,淀屋橋
19:17,準急,淀屋橋
19:29,急行,淀屋橋
19:33,準急,中之島
19:43,準急,淀屋橋
19:54,準急,淀屋橋
20:07,快速急行,淀屋橋
20:17,準急,淀屋橋
20:29,準急,淀屋橋
20:41,準急,淀屋橋
20:54,準急,淀屋橋
21:06,準急,淀屋橋
21:18,準急,淀屋橋
21:30,準急,淀屋橋
21:42,準急,淀屋橋
21:55,準急,淀屋橋
22:09,準急,淀屋橋
22:22,準急,淀屋橋
22:35,準急,淀屋橋
22:50,準急,淀屋橋
23:07,準急,淀屋橋
23:22,準急,淀屋橋
23:37,快速急行,淀屋橋
23:55,快速急行,淀屋橋

